Cores: 8
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,1.255,2.7662,21.8458,185.7958,1689.4541,17591.4305
parallel merge sort,5.4921,9.0426,43.3135,260.1131,1880.874,18027.1444
classical quick sort,2.7315,6.7937,24.8967,108.8498,1003.26,10686.7267
parallel quick sort,16.4281,24.1509,66.7203,161.6304,536.2954,4058.3183
Cores: 9
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,0.8041,3.5427,21.1789,181.6017,1681.0216,18478.0891
parallel merge sort,6.2508,8.7977,49.717,224.363,1713.9937,17782.5841
classical quick sort,2.5256,6.0748,24.206,112.3308,1057.1492,10884.879201
parallel quick sort,13.5354,23.5998,56.9871,173.8656,554.3249,4009.7767
Cores: 10
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,0.6561,2.6023,19.5203,184.5001,1689.357601,18398.9914
parallel merge sort,4.712,8.4062,44.954699,243.5384,1800.7202,17268.0915
classical quick sort,2.483901,5.707899,23.449401,117.4941,1005.0176,10773.964799
parallel quick sort,14.5713,23.955701,63.9544,172.965899,535.7598,3997.726801
Cores: 11
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,0.8933,2.4273,19.582299,184.2568,1700.589699,17649.8832
parallel merge sort,5.4135,11.737001,42.6472,249.493,1776.2449,16452.8675
classical quick sort,3.324601,6.1658,22.0933,118.5403,1006.7512,10704.0761
parallel quick sort,12.921,23.9315,60.010599,189.176401,471.43,3916.8702
Cores: 12
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,0.6328,2.5515,20.2989,186.444,1679.4217,18251.5769
parallel merge sort,4.8024,8.6287,52.0011,237.5431,1751.3823,16184.9543
classical quick sort,2.2694,6.5236,23.2182,112.6605,1007.6622,10859.1704
parallel quick sort,16.1275,21.6667,62.0295,184.0726,477.9026,4137.4384
Cores: 13
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,0.6104,2.9373,19.8565,185.6893,1724.3804,18635.4746
parallel merge sort,4.2486,7.7563,41.6343,256.1131,1705.4324,16678.5544
classical quick sort,2.5495,6.5045,24.9488,115.1085,1014.0302,10940.2774
parallel quick sort,14.8525,23.2889,59.6702,188.8584,551.1132,4198.3986
Cores: 14
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,0.733,4.2942,20.6106,188.4236,1710.4408,18638.7705
parallel merge sort,5.2606,8.8111,41.8742,230.4818,1768.3893,18489.2351
classical quick sort,3.3463,7.1233,26.1693,114.4167,1013.8635,11267.0151
parallel quick sort,13.987,23.5618,68.6958,181.602,518.7351,4989.0642
Cores: 15
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,1.0073,2.3744,21.8619,190.5179,1731.0164,19195.7205
parallel merge sort,4.0849,9.632,43.1359,301.2777,1758.9201,16916.9823
classical quick sort,2.5157,5.4191,24.7227,121.0085,1020.767,10920.8784
parallel quick sort,13.4796,21.7217,67.4601,179.4838,551.1581,4340.3375
Cores: 16
elements,1000,10000,100000,1000000,10000000,100000000
classical merge sort,0.8867,2.6288,21.0206,188.9185,1774.8239,19200.0979
parallel merge sort,4.7016,9.5116,47.5933,282.6309,1495.0375,16651.8787
classical quick sort,3.5329,6.3472,23.3658,113.7571,1041.8903,10902.4374
parallel quick sort,15.9609,21.4693,70.7609,171.2364,507.7413,4504.4309
