Tour,RunningTime,#EdgeSwaps,TourLength
data/ar9152.tsp,4900,57837,947060.6562601328
data/bm33708.tsp,58242,72018,1083306.862885356
data/ch71009.tsp,267360,331407,5143883.745056272
data/dj38.tsp,4,53,6710.342839717865
data/eg7146.tsp,2191,26379,188553.29232519865
data/ei8246.tsp,2654,33593,233422.04023075104
data/fi10639.tsp,4539,28673,586612.4619579315
data/gr9882.tsp,2584,20061,339818.5421946049
data/ho14473.tsp,9807,90338,198144.5588810444
data/ja9847.tsp,3505,23778,549708.0719934702
data/kz9976.tsp,3812,42251,1198756.5099500418
data/lu980.tsp,86,4025,12736.153558373451
data/mo14185.tsp,7481,35659,480862.9997960329
data/mu1979.tsp,180,4964,95749.28455686569
data/nu3496.tsp,653,18491,106996.68222093582
data/pm8079.tsp,2988,48203,130566.95994591713
data/qa194.tsp,9,337,10231.147312879562
data/rw1621.tsp,172,7737,29913.79699021578
data/sw24978.tsp,23862,57495,969922.9039720893
data/tz6117.tsp,1405,16089,446252.9496458769
data/uy734.tsp,43,1814,87697.49503707886
data/vm22775.tsp,18350,43460,644784.2780247629
data/wi29.tsp,3,33,28981.86784362793
data/ym7663.tsp,1916,28399,268816.2292934656
data/zi929.tsp,60,2524,105795.47890400887
